Edge Server IDs,Available CPU,Available GPU Cores,Available Storage,Process ID,Process Name,User ID,Computing Node ID,Processing Percentage,Latency(ms),Is Scheduled?,Packet Data Sizes(bits),Reporting Time(ms)
,,,,1,Data_Processing,1,79,0.0,2.54,N/A,4.625,None
,,,,2,Data_Processing,2,79,0.0,2.65,N/A,8.5,None
,,,,3,Data_Processing,3,79,0.0,2.39,N/A,5.125,None
,,,,4,Data_Processing,4,79,0.0,2.8,N/A,7.5,None
,,,,5,Data_Processing,5,79,0.0,1.84,N/A,4.875,None
,,,,6,Data_Processing,6,79,0.0,2.58,N/A,8.0,None
,,,,7,Data_Processing,7,79,0.0,1.64,N/A,5.875,None
,,,,9,Data_Processing,9,79,0.0,1.49,N/A,8.25,None
,,,,10,Data_Processing,10,79,0.0,21.96,N/A,5.875,None
,,,,11,Data_Processing,11,79,0.0,3.03,N/A,8.375,None
,,,,12,Data_Processing,12,79,0.0,2.89,N/A,5.75,None
,,,,15,Data_Processing,15,79,0.0,1.89,N/A,6.625,None
,,,,16,Data_Processing,16,79,0.0,2.45,N/A,5.875,None
,,,,17,Data_Processing,17,79,0.0,3.04,N/A,6.75,None
,,,,18,Data_Processing,18,79,0.0,4.17,N/A,9.125,None
,,,,1,Data_Processing,1,79,0.0,2.54,N/A,5.125,None
,,,,2,Data_Processing,2,79,0.0,2.65,N/A,6.0,None
,,,,3,Data_Processing,3,79,0.0,2.39,N/A,7.0,None
,,,,4,Data_Processing,4,79,0.0,2.8,N/A,8.375,None
,,,,5,Data_Processing,5,79,0.0,1.84,N/A,7.875,None
,,,,6,Data_Processing,6,79,0.0,2.58,N/A,8.625,None
,,,,7,Data_Processing,7,79,0.0,1.64,N/A,5.875,None
,,,,8,Data_Processing,8,79,0.0,3.17,N/A,9.125,None
,,,,9,Data_Processing,9,79,0.0,1.49,N/A,5.0,None
,,,,11,Data_Processing,11,79,0.0,3.03,N/A,8.875,None
,,,,12,Data_Processing,12,79,0.0,2.89,N/A,7.375,None
,,,,14,Data_Processing,14,79,0.0,4.55,N/A,7.625,None
,,,,15,Data_Processing,15,79,0.0,1.89,N/A,7.875,None
,,,,16,Data_Processing,16,79,0.0,2.45,N/A,6.125,None
,,,,17,Data_Processing,17,79,0.0,3.04,N/A,6.625,None
