Process ID,Process Name,User ID,Computing Node ID,UL Latency,Backhaul Latency,Processing Latency
76,SIMPLE_RAN_APP_23,23,29,1202.0473769863002,2.0,7.600000000000307
80,SIMPLE_RAN_APP_25,25,26,2149.8548975360454,2.0,9.600000000000335
32,SIMPLE_RAN_APP_1,1,27,2166.6120805501087,2.0,10.000000000000341
60,SIMPLE_RAN_APP_15,15,26,474.5955762161554,2.0,10.400000000000347
52,SIMPLE_RAN_APP_11,11,27,1111.259777623107,2.0,10.60000000000035
84,SIMPLE_RAN_APP_27,27,28,1050.9407972739073,2.0,11.000000000000355
44,SIMPLE_RAN_APP_7,7,28,975.0218979632399,2.0,11.200000000000358
36,SIMPLE_RAN_APP_3,3,29,1500.9376355655534,2.0,11.600000000000364
40,SIMPLE_RAN_APP_5,5,26,544.8759007307565,2.0,12.00000000000037
54,SIMPLE_RAN_APP_12,12,28,1362.47705678345,2.0,12.00000000000037
48,SIMPLE_RAN_APP_9,9,30,777.1099508179574,2.0,12.80000000000038
46,SIMPLE_RAN_APP_8,8,29,1942.3448591931353,2.0,13.800000000000395
88,SIMPLE_RAN_APP_29,29,30,829.5421172502172,2.0,13.800000000000395
50,SIMPLE_RAN_APP_10,10,26,2107.8431507018386,2.0,14.80000000000041
62,SIMPLE_RAN_APP_16,16,27,2763.3539937106625,2.0,14.80000000000041
58,SIMPLE_RAN_APP_14,14,30,4380.206181544956,2.0,15.60000000000042
70,SIMPLE_RAN_APP_20,20,26,3142.039906635977,2.0,15.800000000000423
66,SIMPLE_RAN_APP_18,18,29,3410.1720997102066,2.0,16.600000000000435
42,SIMPLE_RAN_APP_6,6,27,2242.9141223942756,2.0,16.800000000000438
34,SIMPLE_RAN_APP_2,2,28,2371.5312071052304,2.0,17.800000000000452
68,SIMPLE_RAN_APP_19,19,30,2497.8916049183526,2.0,17.800000000000452
56,SIMPLE_RAN_APP_13,13,29,2311.933234682206,2.0,20.40000000000049
76,SIMPLE_RAN_APP_23,23,29,1202.0473769863002,2.0,7.6000000000010175
80,SIMPLE_RAN_APP_25,25,26,2149.8548975360454,2.0,9.600000000001046
32,SIMPLE_RAN_APP_1,1,27,2166.6120805501087,2.0,10.000000000001052
60,SIMPLE_RAN_APP_15,15,26,474.5955762161554,2.0,10.400000000001057
52,SIMPLE_RAN_APP_11,11,27,1111.259777623107,2.0,10.60000000000106
84,SIMPLE_RAN_APP_27,27,28,1050.9407972739073,2.0,11.000000000001066
44,SIMPLE_RAN_APP_7,7,28,975.0218979632399,2.0,11.200000000001069
36,SIMPLE_RAN_APP_3,3,29,1500.9376355655534,2.0,11.600000000001074
40,SIMPLE_RAN_APP_5,5,26,544.8759007307565,2.0,12.00000000000108
54,SIMPLE_RAN_APP_12,12,28,1362.47705678345,2.0,12.00000000000108
48,SIMPLE_RAN_APP_9,9,30,777.1099508179574,2.0,12.800000000001091
46,SIMPLE_RAN_APP_8,8,29,1942.3448591931353,2.0,13.800000000001106
88,SIMPLE_RAN_APP_29,29,30,829.5421172502172,2.0,13.800000000001106
50,SIMPLE_RAN_APP_10,10,26,2107.8431507018386,2.0,14.80000000000112
62,SIMPLE_RAN_APP_16,16,27,2763.3539937106625,2.0,14.80000000000112
58,SIMPLE_RAN_APP_14,14,30,4380.206181544956,2.0,15.600000000001131
70,SIMPLE_RAN_APP_20,20,26,3142.039906635977,2.0,15.800000000001134
66,SIMPLE_RAN_APP_18,18,29,3410.1720997102066,2.0,16.600000000001145
42,SIMPLE_RAN_APP_6,6,27,2242.9141223942756,2.0,16.80000000000115
34,SIMPLE_RAN_APP_2,2,28,2371.5312071052304,2.0,17.800000000001162
68,SIMPLE_RAN_APP_19,19,30,2497.8916049183526,2.0,17.800000000001162
56,SIMPLE_RAN_APP_13,13,29,2311.933234682206,2.0,20.4000000000012
